OBJECTID,SHAPE_Length,SHAPE_Area,Notes
1,34.26656498,50.95512873,
3,7.590092749,3.843418201,
4,25.19224139,40.79185804,
5,26.38546768,33.85848707,
6,9.230504945,4.835980968,
7,13.2117324,8.787655989,
8,6.07675512,2.26066985,
9,5.143324198,1.785542739,
10,10.24660249,4.770252737,
11,10.07290151,5.436542802,
12,12.83141552,7.901475904,
13,18.66311542,10.71708748,
14,5.620652111,1.550429761,
15,10.94867613,7.816753422,
16,18.88144488,21.25174123,
17,11.77441047,8.142733767,
18,8.647921054,4.925318409,
19,20.64130535,13.69032042,
20,11.80180356,9.394988711,
21,17.57604573,16.26068051,
22,17.5254029,15.68295287,
23,19.59218392,21.15032005,
24,11.37470808,8.746204192,
25,5.117159889,1.813545256,
26,12.08940706,8.38018252,appears that slide is beneath tree
27,28.34759245,44.44054075,"2017 imaging does not reach, but looks 2019"
28,29.75295524,58.82135723,"one big slump,what is pipe"
29,25.72578464,35.95682482,incredibly square and blocky slumps
30,8.741425438,5.258198609,river edge
31,5.190974538,1.81440002,at river edge
32,5.262697755,1.86108934,at river edge
33,4.721970008,1.395079466,at river edge
34,12.86192022,7.475317464,"at river edge, could be two"
35,22.84813831,33.28487183,
36,9.967499174,6.759566056,
37,8.098969882,3.595762129,
38,13.73292036,10.47098665,
39,14.65194994,12.14972238,
40,27.43490951,44.00954411,
41,16.12624443,15.99537936,same linear structure as RH
42,8.110601409,4.157553866,
43,12.21889966,7.256115861,
44,21.53210455,27.45372052,
45,6.228437526,2.133132996,
46,7.198305161,3.125262763,
47,12.35607484,8.037582257,
48,4.709543807,1.438879086,
49,19.31247906,22.84992038,
50,13.87766675,11.71461277,
51,13.79827504,11.26252943,2017?
52,23.3654555,25.77881368,2017?
53,10.53108169,5.83829165,2017?
54,8.16121632,3.738090767,2017?
55,7.999555714,3.931560508,
56,11.72770349,7.578197745,
57,6.814589369,3.183184879,
58,13.54349372,6.896170426,
59,6.152756957,2.253902064,
61,20.1564577,23.84850984,blocky
62,10.13660559,6.52093491,blocky
63,5.318550217,1.862104423,above another landslide
64,20.9834364,26.25369929,blocky
65,6.702868804,3.080464185,small blocky
66,19.90390872,21.86597101,blocky
67,20.49498834,25.6866066,blocky
68,15.65639374,12.87343997,
69,14.92556056,14.33820221,blocky
70,9.379165982,5.426028405,blocky
71,11.27055474,7.969504455,
72,12.50883468,11.08269548,
73,16.5807845,14.76094791,
74,9.877310815,6.318996022,
75,10.43426922,6.309327606,
76,28.09901817,41.04762754,
77,17.41204078,18.52968614,
78,8.411974645,4.320229334,
79,7.578319331,2.966057404,llinear slide
80,10.00486034,7.042383195,
81,10.45724432,5.696074064,
82,11.44452452,7.197705169,crack in 2017
83,28.04415167,36.93562213,one large slump block
84,15.82814315,14.95235207,linear
85,14.78114066,12.21626296,somwhat linear
86,11.06269153,5.5036219,linear
87,9.487073728,5.7144577,
88,11.51438699,8.213928559,slumpy
89,9.991360779,6.982350141,slumpy or linear???
90,11.59507774,7.24910217,slump
91,4.914790407,1.72923026,above 2017 slide
92,4.025836103,1.083139575,above 2017 slide
93,7.99764507,4.01802698,at creek edge
94,6.466040323,2.51138872,at creek edge
95,6.254875625,2.182245363,"questionable, at creek edge"
96,8.905772477,4.478605532,slump
97,10.82908221,8.074179078,
99,0,0,
100,20.53767835,22.69297067,
101,18.69161119,18.78345213,
