FID,FID_1,ID,Shape_Leng,Shape_Area,slp_mean,slp_median,slp_range,FID_2,OBJECTID,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
0,22,23,25.57915373,35.99994952,25.35755587,24.30069065,12.15867424,0,3,3b,1933772.099,3275260.425,17047.64262,2
1,23,24,6.160373239,2.603822705,27.5391264,27.5391264,14.1198597,0,3,3b,1933772.099,3275260.425,17047.64262,2
2,24,25,4.548544367,1.39603364,25.1993618,25.1993618,5.74306488,0,3,3b,1933772.099,3275260.425,17047.64262,2
3,25,26,8.887536844,5.224322021,32.44580498,31.86143303,4.024055481,0,3,3b,1933772.099,3275260.425,17047.64262,2
4,26,27,17.31848955,15.94861591,31.39091039,31.61648083,6.547842026,0,3,3b,1933772.099,3275260.425,17047.64262,2
5,27,28,12.09154911,9.193856323,32.42923508,32.40444565,4.319343567,0,3,3b,1933772.099,3275260.425,17047.64262,2
6,34,35,10.9829463,8.05691563,27.93264103,27.63386917,5.473796844,0,3,3b,1933772.099,3275260.425,17047.64262,2
7,35,36,11.13006927,8.285717241,29.83030963,29.14972496,4.626405716,0,3,3b,1933772.099,3275260.425,17047.64262,2
8,36,37,10.01328711,6.385404231,34.71836526,34.92609406,4.556495667,0,3,3b,1933772.099,3275260.425,17047.64262,2
9,37,38,17.61588761,12.95409273,27.64235528,27.41302013,4.211753845,0,3,3b,1933772.099,3275260.425,17047.64262,2
10,38,39,9.99479583,7.064238211,29.32434191,29.69944382,3.966814041,0,3,3b,1933772.099,3275260.425,17047.64262,2
11,39,40,7.326488532,3.212527393,27.25223303,27.48176765,1.584154129,0,3,3b,1933772.099,3275260.425,17047.64262,2
12,40,41,14.17836634,12.61588223,34.02215535,34.99962616,12.38602066,0,3,3b,1933772.099,3275260.425,17047.64262,2
13,41,42,9.399903064,5.949399774,28.63948027,28.29082966,2.784322739,0,3,3b,1933772.099,3275260.425,17047.64262,2
14,42,43,7.778415755,3.768506771,37.8168478,38.18879318,5.918071747,0,3,3b,1933772.099,3275260.425,17047.64262,2
15,43,44,8.593275426,5.300160675,27.56633472,27.90349579,2.830047607,0,3,3b,1933772.099,3275260.425,17047.64262,2
16,44,45,4.990113136,1.457028484,41.53319264,39.24002075,3.834144592,0,3,3b,1933772.099,3275260.425,17047.64262,2
17,49,50,8.639546043,4.979268025,34.73475933,34.58582497,2.683830261,0,3,3b,1933772.099,3275260.425,17047.64262,2
18,51,52,13.9605707,10.25702337,43.74084435,43.84532738,6.656139374,0,3,3b,1933772.099,3275260.425,17047.64262,2
19,52,53,36.10529832,77.75864554,43.93623553,44.44989586,13.10310745,0,3,3b,1933772.099,3275260.425,17047.64262,2
20,54,55,60.94543412,200.211981,43.06041561,44.2562027,37.96818352,0,3,3b,1933772.099,3275260.425,17047.64262,2
21,57,58,38.00564777,91.41732274,40.28950303,39.72512436,11.7521019,0,3,3b,1933772.099,3275260.425,17047.64262,2
22,58,59,11.60751998,7.941296108,43.94966936,44.19542885,2.446956635,0,3,3b,1933772.099,3275260.425,17047.64262,2
23,60,61,43.94399043,129.9325389,42.2747178,42.6039505,15.68658066,0,3,3b,1933772.099,3275260.425,17047.64262,2
24,62,64,53.56589422,105.3103008,24.90437104,24.53290272,6.450210571,0,3,3b,1933772.099,3275260.425,17047.64262,2
25,63,65,18.36914821,23.73327449,33.75616422,33.94012451,11.26316833,0,3,3b,1933772.099,3275260.425,17047.64262,2
26,64,75,5.94991971,2.56812276,35.42219353,35.42219353,2.123188019,0,3,3b,1933772.099,3275260.425,17047.64262,2
27,65,66,7.577049946,3.602753529,37.10261154,37.43952179,1.162097931,0,3,3b,1933772.099,3275260.425,17047.64262,2
28,66,67,7.116779176,3.71014997,27.99493504,27.99493504,6.468355179,0,3,3b,1933772.099,3275260.425,17047.64262,2
29,67,68,16.23580678,16.25990635,27.85995636,28.48564339,9.66305542,0,3,3b,1933772.099,3275260.425,17047.64262,2
