OBJECTID,SHAPE_Length,SHAPE_Area,RANGE,MEAN,outside_StudyArea
1,13.94491907,11.84174342,21.52445316,28.35807638,
2,13.83490989,13.14568614,15.15635681,31.29157748,
3,14.18928066,14.08417837,17.26555443,28.55186094,
4,8.85260387,4.757893531,17.22628403,29.01059818,
5,11.09371761,7.537642343,,,
6,18.05668696,20.20213283,,,
7,9.997358069,6.643781753,9.983041763,27.79677105,
8,12.37974568,8.494751045,15.22180939,19.73609516,
9,41.56324828,75.20897477,21.44956875,122.9405253,
10,20.01816805,25.39119974,14.4023447,24.48695112,
11,33.33855436,39.03157767,12.60946846,26.88661844,
12,18.23094848,21.19453784,10.94589806,24.95047751,
13,18.01979208,18.38246327,11.4663868,25.79893751,
14,21.25734964,25.3494022,8.681650162,26.00378315,
15,19.28714649,21.08760095,22.62608814,25.39909137,
16,13.55225942,12.25846791,15.06523514,27.18289258,
17,9.307941732,5.942196474,8.530893326,25.49363136,
18,16.36549782,16.43595454,28.116992,27.76515919,
19,7.092224575,3.271379044,0.369895935,26.69068336,
20,6.561175985,2.528711385,0.034191132,32.13267708,
21,5.646715822,2.192033046,2.39323616,29.48540306,
22,10.55903258,7.223933812,3.920757294,23.00679534,
23,12.806929,10.28529526,13.15389061,36.57821846,
24,18.01275109,20.71585359,18.47454643,27.40114424,
25,13.42893971,9.770638325,21.25523591,14.63850057,
26,17.03743831,19.76597919,14.21190643,27.60126762,yes
27,14.46579722,13.89042698,21.42056084,35.75730236,yes
29,26.94591963,39.6804856,25.91895866,32.93354777,yres
30,19.07455311,16.17889328,13.23993301,34.44977866,yes
31,8.511768738,5.357110768,14.53835106,27.22416496,
32,14.04027363,13.60269453,10.14677429,46.44024822,
33,9.600688912,5.62475881,7.914737701,48.83181305,
34,15.19840819,12.71905558,13.48399353,49.02842407,
35,19.05101754,25.12371532,19.82918358,37.15752873,yes
36,10.58614798,7.793878054,6.151847839,43.15699387,yes
37,14.43538452,11.86949343,11.5207634,28.15386502,yes
38,16.45770141,13.86023391,8.726636887,34.28312424,yes
39,11.9033942,8.569388214,9.721334457,32.24948714,yes
40,10.97570581,8.514404506,18.23375893,33.53603096,yes
41,12.01082081,6.64711842,13.22327042,29.51514244,yes
42,10.06402174,7.082843946,17.30270767,24.43121937,yes
43,12.77796615,12.09360715,24.93020248,35.94812525,yes
44,22.23860523,26.05043409,16.43494034,34.29626576,yes
45,9.651992008,5.341797949,20.984478,38.27716446,yes
46,24.27439283,33.05762684,16.12126732,40.12570432,yes
47,20.68870886,28.24861187,33.34566879,34.92159545,yes
48,12.72611694,8.768877651,14.96794701,28.36889437,
49,13.13642284,11.14878835,8.235879898,28.99710482,
50,8.809858196,4.752973065,3.1674366,33.0423247,
52,9.941692774,6.810103272,9.011465073,23.66895413,
53,9.19627179,5.331091455,5.719989777,44.74552536,yes
54,18.80537751,22.58702638,42.49441361,21.03111057,yes
55,16.48043076,18.40092704,,,yes
56,12.03000213,9.33250649,,,yes
