OBJECTID,Notes,outside_StudyArea,SHAPE_Length,SHAPE_Area
1,,,13.94491907,11.84174342
2,,,13.83490989,13.14568614
3,,,14.18928066,14.08417837
4,,,8.85260387,4.757893531
5,,,11.09371761,7.537642343
6,,,18.05668696,20.20213283
7,,,9.997358069,6.643781753
8,,,12.37974568,8.494751045
9,,,41.56324828,75.20897477
10,,,20.01816805,25.39119974
11,,,33.33855436,39.03157767
12,,,18.23094848,21.19453784
13,,,18.01979208,18.38246327
14,,,21.25734964,25.3494022
15,,,19.28714649,21.08760095
16,,,13.55225942,12.25846791
17,,,9.307941732,5.942196474
18,,,16.36549782,16.43595454
19,,,7.092224575,3.271379044
20,,,6.561175985,2.528711385
21,,,5.646715822,2.192033046
22,,,10.55903258,7.223933812
23,,,12.806929,10.28529526
24,,,18.01275109,20.71585359
25,,,13.42893971,9.770638325
26,,yes,17.03743831,19.76597919
27,,yes,14.46579722,13.89042698
29,,yres,26.94591963,39.6804856
30,,yes,19.07455311,16.17889328
31,,,8.511768738,5.357110768
32,,,14.04027363,13.60269453
33,,,9.600688912,5.62475881
34,,,15.19840819,12.71905558
35,,yes,19.05101754,25.12371532
36,,yes,10.58614798,7.793878054
37,,yes,14.43538452,11.86949343
38,,yes,16.45770141,13.86023391
39,,yes,11.9033942,8.569388214
40,,yes,10.97570581,8.514404506
41,,yes,12.01082081,6.64711842
42,,yes,10.06402174,7.082843946
43,,yes,12.77796615,12.09360715
44,,yes,22.23860523,26.05043409
45,,yes,9.651992008,5.341797949
46,,yes,24.27439283,33.05762684
47,,yes,20.68870886,28.24861187
48,,,12.72611694,8.768877651
49,,,13.13642284,11.14878835
50,,,8.809858196,4.752973065
52,,,9.941692774,6.810103272
53,,yes,9.19627179,5.331091455
54,,yes,18.80537751,22.58702638
55,,yes,16.48043076,18.40092704
56,,yes,12.03000213,9.33250649
