FID,OBJECTID,Notes,outside_St,SHAPE_Leng,SHAPE_Area,FID_1,OBJECTID_1,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
0,49, , ,13.13642284,11.14878835,0,3,3b,1933772.099,3275260.425,17047.64262,2
1,50, , ,8.809858196,4.752973065,0,3,3b,1933772.099,3275260.425,17047.64262,2
2,52, , ,9.941692774,6.810103272,0,3,3b,1933772.099,3275260.425,17047.64262,2
3,8, , ,12.37974568,8.494751045,3,7,2c,1434340.438,4408542.435,32375.82843,9
4,13, , ,18.01979208,18.38246327,3,7,2c,1434340.438,4408542.435,32375.82843,9
5,14, , ,21.25734964,25.3494022,3,7,2c,1434340.438,4408542.435,32375.82843,9
6,15, , ,19.28714649,21.08760095,4,6,2b,379045.123,3479219.136,43062.26407,13
7,16, , ,13.55225942,12.25846791,4,6,2b,379045.123,3479219.136,43062.26407,13
8,17, , ,9.307941732,5.942196474,4,6,2b,379045.123,3479219.136,43062.26407,13
9,19, , ,7.092224575,3.271379044,4,6,2b,379045.123,3479219.136,43062.26407,13
10,20, , ,6.561175985,2.528711385,5,5,2a,142121.7446,368801.4304,9841.932476,2
11,21, , ,5.646715822,2.192033046,5,5,2a,142121.7446,368801.4304,9841.932476,2
12,18, , ,16.36549782,16.43595454,6,8,2d,33503.81726,367049.0139,17056.37809,6
13,22, , ,10.55903258,7.223933812,6,8,2d,33503.81726,367049.0139,17056.37809,6
14,23, , ,12.806929,10.28529526,7,1,Qal,2106097.665,2145910.748,19989.28343,3
15,25, , ,13.42893971,9.770638325,7,1,Qal,2106097.665,2145910.748,19989.28343,3
16,1, , ,13.94491907,11.84174342,0,0, ,0,0,0,0
17,2, , ,13.83490989,13.14568614,0,0, ,0,0,0,0
18,3, , ,14.18928066,14.08417837,0,0, ,0,0,0,0
19,4, , ,8.85260387,4.757893531,0,0, ,0,0,0,0
20,5, , ,11.09371761,7.537642343,0,0, ,0,0,0,0
21,6, , ,18.05668696,20.20213283,0,0, ,0,0,0,0
22,7, , ,9.997358069,6.643781753,0,0, ,0,0,0,0
23,9, , ,41.56324828,75.20897477,0,0, ,0,0,0,0
24,10, , ,20.01816805,25.39119974,0,0, ,0,0,0,0
25,11, , ,33.33855436,39.03157767,0,0, ,0,0,0,0
26,12, , ,18.23094848,21.19453784,0,0, ,0,0,0,0
27,24, , ,18.01275109,20.71585359,0,0, ,0,0,0,0
28,26, ,yes,17.03743831,19.76597919,0,0, ,0,0,0,0
29,27, ,yes,14.46579722,13.89042698,0,0, ,0,0,0,0
30,29, ,yres,26.94591963,39.6804856,0,0, ,0,0,0,0
31,30, ,yes,19.07455311,16.17889329,0,0, ,0,0,0,0
32,31, , ,8.511768738,5.357110768,0,0, ,0,0,0,0
33,32, , ,14.04027363,13.60269453,0,0, ,0,0,0,0
34,33, , ,9.600688912,5.62475881,0,0, ,0,0,0,0
35,34, , ,15.19840819,12.71905558,0,0, ,0,0,0,0
36,35, ,yes,19.05101754,25.12371532,0,0, ,0,0,0,0
37,36, ,yes,10.58614798,7.793878054,0,0, ,0,0,0,0
38,37, ,yes,14.43538452,11.86949343,0,0, ,0,0,0,0
39,38, ,yes,16.45770141,13.86023391,0,0, ,0,0,0,0
40,39, ,yes,11.9033942,8.569388214,0,0, ,0,0,0,0
41,40, ,yes,10.97570581,8.514404506,0,0, ,0,0,0,0
42,41, ,yes,12.01082081,6.64711842,0,0, ,0,0,0,0
43,42, ,yes,10.06402174,7.082843946,0,0, ,0,0,0,0
44,43, ,yes,12.77796615,12.09360715,0,0, ,0,0,0,0
45,44, ,yes,22.23860523,26.05043409,0,0, ,0,0,0,0
46,45, ,yes,9.651992008,5.341797949,0,0, ,0,0,0,0
47,46, ,yes,24.27439283,33.05762684,0,0, ,0,0,0,0
48,47, ,yes,20.68870886,28.24861187,0,0, ,0,0,0,0
49,48, , ,12.72611694,8.768877651,0,0, ,0,0,0,0
50,53, ,yes,9.19627179,5.331091455,0,0, ,0,0,0,0
51,54, ,yes,18.80537751,22.58702638,0,0, ,0,0,0,0
52,55, ,yes,16.48043076,18.40092704,0,0, ,0,0,0,0
53,56, ,yes,12.03000213,9.33250649,0,0, ,0,0,0,0
