FID,OBJECTID,class,shape_leng,shape_area,slp_range,slp_mean,group
0,49,3b,13.13642284,11.14878835,8.235879898,28.99710482,Missed2017
1,50,3b,8.809858196,4.752973065,3.1674366,33.0423247,Missed2017
2,52,3b,9.941692774,6.810103272,9.011465073,23.66895413,Missed2017
3,8,2c,12.37974568,8.494751045,15.22180939,19.73609516,Missed2017
4,13,2c,18.01979208,18.38246327,11.4663868,25.79893751,Missed2017
5,14,2c,21.25734964,25.3494022,8.681650162,26.00378315,Missed2017
6,15,2b,19.28714649,21.08760095,22.62608814,25.39909137,Missed2017
7,16,2b,13.55225942,12.25846791,15.06523514,27.18289258,Missed2017
8,17,2b,9.307941732,5.942196474,8.530893326,25.49363136,Missed2017
9,19,2b,7.092224575,3.271379044,0.369895935,26.69068336,Missed2017
10,20,2a,6.561175985,2.528711385,0.034191132,32.13267708,Missed2017
11,21,2a,5.646715822,2.192033046,2.39323616,29.48540306,Missed2017
12,18,2d,16.36549782,16.43595454,28.116992,27.76515919,Missed2017
13,22,2d,10.55903258,7.223933812,3.920757294,23.00679534,Missed2017
14,23,Qal,12.806929,10.28529526,13.15389061,36.57821846,Missed2017
15,25,Qal,13.42893971,9.770638325,21.25523591,14.63850057,Missed2017
16,1,Outside,13.94491907,11.84174342,21.52445316,28.35807638,Missed2017
17,2,Outside,13.83490989,13.14568614,15.15635681,31.29157748,Missed2017
18,3,Outside,14.18928066,14.08417837,17.26555443,28.55186094,Missed2017
19,4,Outside,8.85260387,4.757893531,17.22628403,29.01059818,Missed2017
20,5,Outside,11.09371761,7.537642343,,,Missed2017
21,6,Outside,18.05668696,20.20213283,,,Missed2017
22,7,Outside,9.997358069,6.643781753,9.983041763,27.79677105,Missed2017
23,9,Outside,41.56324828,75.20897477,21.44956875,122.9405253,Missed2017
24,10,Outside,20.01816805,25.39119974,14.4023447,24.48695112,Missed2017
25,11,Outside,33.33855436,39.03157767,12.60946846,26.88661844,Missed2017
26,12,Outside,18.23094848,21.19453784,10.94589806,24.95047751,Missed2017
27,24,Outside,18.01275109,20.71585359,18.47454643,27.40114424,Missed2017
28,26,Outside,17.03743831,19.76597919,14.21190643,27.60126762,Missed2017
29,27,Outside,14.46579722,13.89042698,21.42056084,35.75730236,Missed2017
30,29,Outside,26.94591963,39.6804856,25.91895866,32.93354777,Missed2017
31,30,Outside,19.07455311,16.17889329,13.23993301,34.44977866,Missed2017
32,31,Outside,8.511768738,5.357110768,14.53835106,27.22416496,Missed2017
33,32,Outside,14.04027363,13.60269453,10.14677429,46.44024822,Missed2017
34,33,Outside,9.600688912,5.62475881,7.914737701,48.83181305,Missed2017
35,34,Outside,15.19840819,12.71905558,13.48399353,49.02842407,Missed2017
36,35,Outside,19.05101754,25.12371532,19.82918358,37.15752873,Missed2017
37,36,Outside,10.58614798,7.793878054,6.151847839,43.15699387,Missed2017
38,37,Outside,14.43538452,11.86949343,11.5207634,28.15386502,Missed2017
39,38,Outside,16.45770141,13.86023391,8.726636887,34.28312424,Missed2017
40,39,Outside,11.9033942,8.569388214,9.721334457,32.24948714,Missed2017
41,40,Outside,10.97570581,8.514404506,18.23375893,33.53603096,Missed2017
42,41,Outside,12.01082081,6.64711842,13.22327042,29.51514244,Missed2017
43,42,Outside,10.06402174,7.082843946,17.30270767,24.43121937,Missed2017
44,43,Outside,12.77796615,12.09360715,24.93020248,35.94812525,Missed2017
45,44,Outside,22.23860523,26.05043409,16.43494034,34.29626576,Missed2017
46,45,Outside,9.651992008,5.341797949,20.984478,38.27716446,Missed2017
47,46,Outside,24.27439283,33.05762684,16.12126732,40.12570432,Missed2017
48,47,Outside,20.68870886,28.24861187,33.34566879,34.92159545,Missed2017
49,48,Outside,12.72611694,8.768877651,14.96794701,28.36889437,Missed2017
50,53,Outside,9.19627179,5.331091455,5.719989777,44.74552536,Missed2017
51,54,Outside,18.80537751,22.58702638,42.49441361,21.03111057,Missed2017
52,55,Outside,16.48043076,18.40092704,,,Missed2017
53,56,Outside,12.03000213,9.33250649,,,Missed2017
