FID,OBJECTID,SHAPE_Leng,SHAPE_Area,Notes,FID_1,OBJECTID_1,CLASSIFICA,Shape_Ar_1,POLY_AREA,PERIMETER,PART_COUNT
0,43,12.21889966,7.256115861, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
1,44,21.53210455,27.45372052, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
2,45,6.228437526,2.133132996, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
3,46,7.198305161,3.125262763, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
4,47,12.35607484,8.037582257, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
5,48,4.709543807,1.438879086, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
6,50,13.87766675,11.71461277, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
7,51,13.79827504,11.26252943,2017?,0,3,3b,1933772.099,3275260.425,17047.64262,2
8,52,23.3654555,25.77881368,2017?,0,3,3b,1933772.099,3275260.425,17047.64262,2
9,53,10.53108169,5.83829165,2017?,0,3,3b,1933772.099,3275260.425,17047.64262,2
10,54,8.16121632,3.738090767,2017?,0,3,3b,1933772.099,3275260.425,17047.64262,2
11,55,7.999555714,3.931560508, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
12,56,11.72770349,7.578197745, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
13,58,13.54349372,6.896170426, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
14,61,20.1564577,23.84850984,blocky,0,3,3b,1933772.099,3275260.425,17047.64262,2
15,62,10.13660559,6.52093491,blocky,0,3,3b,1933772.099,3275260.425,17047.64262,2
16,63,5.318550217,1.862104423,above another landslide,0,3,3b,1933772.099,3275260.425,17047.64262,2
17,64,20.9834364,26.25369929,blocky,0,3,3b,1933772.099,3275260.425,17047.64262,2
18,65,6.702868804,3.080464185,small blocky,0,3,3b,1933772.099,3275260.425,17047.64262,2
19,66,19.90390872,21.86597101,blocky,0,3,3b,1933772.099,3275260.425,17047.64262,2
20,71,11.27055474,7.969504455, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
21,72,12.50883468,11.08269548, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
22,73,16.5807845,14.76094791, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
23,74,9.877310815,6.318996022, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
24,75,10.43426922,6.309327606, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
25,76,28.09901817,41.04762754, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
26,78,8.411974645,4.320229334, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
27,79,7.578319331,2.966057404,llinear slide,0,3,3b,1933772.099,3275260.425,17047.64262,2
28,80,10.00486034,7.042383195, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
29,81,10.45724432,5.696074064, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
30,82,11.44452452,7.197705169,crack in 2017,0,3,3b,1933772.099,3275260.425,17047.64262,2
31,83,28.04415167,36.93562213,one large slump block,0,3,3b,1933772.099,3275260.425,17047.64262,2
32,84,15.82814315,14.95235207,linear,0,3,3b,1933772.099,3275260.425,17047.64262,2
33,85,14.78114066,12.21626296,somwhat linear,0,3,3b,1933772.099,3275260.425,17047.64262,2
34,86,11.06269153,5.5036219,linear,0,3,3b,1933772.099,3275260.425,17047.64262,2
35,87,9.487073728,5.7144577, ,0,3,3b,1933772.099,3275260.425,17047.64262,2
36,88,11.51438699,8.213928559,slumpy,0,3,3b,1933772.099,3275260.425,17047.64262,2
37,89,9.991360779,6.982350141,slumpy or linear???,0,3,3b,1933772.099,3275260.425,17047.64262,2
38,90,11.59507774,7.24910217,slump,0,3,3b,1933772.099,3275260.425,17047.64262,2
39,12,12.83141552,7.901475904, ,1,4,3c,324801.6195,751225.5912,18486.84349,4
40,13,18.66311542,10.71708748, ,1,4,3c,324801.6195,751225.5912,18486.84349,4
41,49,19.31247906,22.84992038, ,1,4,3c,324801.6195,751225.5912,18486.84349,4
42,69,14.92556056,14.33820221,blocky,1,4,3c,324801.6195,751225.5912,18486.84349,4
43,77,17.41204078,18.52968614, ,1,4,3c,324801.6195,751225.5912,18486.84349,4
44,91,4.914790407,1.72923026,above 2017 slide,1,4,3c,324801.6195,751225.5912,18486.84349,4
45,92,4.025836103,1.083139575,above 2017 slide,1,4,3c,324801.6195,751225.5912,18486.84349,4
46,59,6.152756957,2.253902064, ,2,2,3a,1102665.444,1151723.172,11123.59807,2
47,67,20.49498834,25.6866066,blocky,2,2,3a,1102665.444,1151723.172,11123.59807,2
48,68,15.65639374,12.87343997, ,2,2,3a,1102665.444,1151723.172,11123.59807,2
49,70,9.379165982,5.426028405,blocky,2,2,3a,1102665.444,1151723.172,11123.59807,2
50,26,12.08940706,8.38018252,appears that slide is beneath tree,3,7,2c,1434340.438,4408542.435,32375.82843,9
51,35,22.84813831,33.28487183, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
52,36,9.967499174,6.759566056, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
53,37,8.098969882,3.595762129, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
54,38,13.73292036,10.47098665, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
55,39,14.65194994,12.14972238, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
56,101,18.69161119,18.78345213, ,3,7,2c,1434340.438,4408542.435,32375.82843,9
57,1,34.26656498,50.95512873, ,4,6,2b,379045.123,3479219.136,43062.26407,13
58,3,7.590092749,3.843418201, ,4,6,2b,379045.123,3479219.136,43062.26407,13
59,4,25.19224139,40.79185804, ,4,6,2b,379045.123,3479219.136,43062.26407,13
60,5,26.38546768,33.85848707, ,4,6,2b,379045.123,3479219.136,43062.26407,13
61,6,9.230504945,4.835980968, ,4,6,2b,379045.123,3479219.136,43062.26407,13
