OBJECTID,IDNUMBER,SHAPE_Length,SHAPE_Area,RANGE,MEAN,length to toe (m),depth 1 T (m),depth 2 M (m),depth 3 B (m),average depth (m)
1,508,15.53469244,6.321537449,13.91057587,22.60241432,7.8,0.35,0.45,0.5,0.43
2,509,16.21729143,8.357765716,7.682998657,23.77215926,6,0.3,0.35,0.25,0.30
3,504,38.94834492,60.23335412,22.61099529,22.51534618,16.5,0.3,0.6,0.6,0.50
4,506,19.86631175,15.85329739,14.72471142,23.05411375,,,,,
5,505,16.95259647,17.13479361,17.58962727,25.27006494,4.9,0.35,0.25,0.3,0.30
6,507,25.97647704,24.12687971,13.44193268,28.71086527,7.9,0.35,0.6,0.25,0.40
7,510,23.89139105,36.58358203,18.93590927,22.02832514,5.5,0.3,0.25,0.35,0.30
8,502,50.04259954,114.121386,22.42204285,23.1415542,16.2,0.5,0.65,0.8,0.65
9,501,18.72169895,18.5131922,10.03678322,24.95875816,9.2,0.35,0.55,0.5,0.47
10,512,16.02019842,15.68353536,4.828439713,24.32072436,8.5,0.47,0.6,0.45,0.51
11,511,18.20162666,22.54187303,15.95581818,22.23224188,5.7,0.45,0.35,0.5,0.43
12,513,13.57009035,7.777170328,12.8683567,22.74268484,5.3,0.4,0.4,0.3,0.37
13,519,24.78320432,26.11569287,9.181720734,22.79541886,10.2,0.55,0.5,0.6,0.55
14,,7.234548929,3.244305258,3.865566254,35.68558407,,,,,
15,,4.457433932,1.21039823,0,26.85802269,,,,,
16,520,17.20240656,17.01998162,11.21901321,24.59558195,6.2,0.5,0.5,0.55,0.52
17,514,20.2157608,27.56002829,17.71245956,25.99182688,7.8,0.5,0.55,0.5,0.52
18,515,9.395737125,5.495032137,2.633731842,27.3984333,3.8,0.45,0.5,0.45,0.47
19,516,13.98798353,10.17053276,5.738019943,22.71352074,5.5,0.42,0.45,0.5,0.46
20,517,12.81707908,5.135247533,10.07912636,24.76949183,4.3,0.35,0.4,0.3,0.35
21,518,18.16829532,18.03099004,7.164703369,26.34376314,6.6,0.5,0.45,0.6,0.52
22,,11.2359516,7.045918897,6.184856415,28.77822049,,,,,
23,,6.499819023,2.495488505,0.276077271,34.58155441,,,,,
24,503,11.29482443,8.485526264,9.38105011,23.90434837,,,0.45,,0.45
