OBJECTID,IDNUMBER,SHAPE_Length,SHAPE_Area
2,508,15.53469244,6.321537449
3,509,16.21729143,8.357765716
4,504,38.94834492,60.23335412
5,506,19.86631175,15.85329739
6,505,16.95259647,17.13479361
7,507,25.97647704,24.12687971
8,510,23.89139105,36.58358203
9,502,50.04259954,114.121386
10,501,18.72169895,18.5131922
11,512,16.02019842,15.68353536
12,511,18.20162666,22.54187303
13,513,13.57009035,7.777170328
14,519,24.78320432,26.11569287
15,,7.234548929,3.244305258
16,,4.457433932,1.21039823
17,520,17.20240656,17.01998162
18,514,20.2157608,27.56002829
19,515,9.395737125,5.495032137
20,516,13.98798353,10.17053276
21,517,12.81707908,5.135247533
22,518,18.16829532,18.03099004
23,,11.2359516,7.045918897
24,,6.499819023,2.495488505
25,503,11.29482443,8.485526264
