fid,OBJECTID,SHAPE_Leng,SHAPE_Area,Notes,CLASSIFICA,survey_id,id,X,Y,slope_mean,diff_min,diff_max,diff_mea_1,vol_diff,DI_sum,DI_mean,DI_max,DI_range
1,"1",34.266564978300003,50.955128730299997,,2b,,,,,22.641860637664795,-0.416971236467361,0.485883682966232,-0.113106824771967,-5.760000000000000,7845.336120605468750,156.906722412109389,327.174377441406250,262.472373962402344
2,"3",7.590092748690000,3.843418200680000,,2b,,,,,27.416747570037842,-0.039400115609169,0.200548157095909,0.099551662802696,0.382000000000000,480.744461059570313,120.186115264892578,162.534133911132813,83.363792419433594
3,"4",25.192241392000000,40.791858042199998,,2b,,,,,25.254347080137670,-0.478548079729080,0.218872055411339,-0.226224829158859,-9.220000000000001,5814.537704467773438,141.817992791896927,168.696731567382813,81.098777770996094
4,"5",26.385467679900000,33.858487072800003,,2b,,,,,22.507268105783769,-0.331562072038651,0.203948959708214,-0.172434979869473,-5.830000000000000,5484.611419677734375,176.922949021862394,351.240417480468750,302.441593170166016
5,"6",9.230504945390001,4.835980967620000,,2b,,,,,27.421922683715820,-0.353912383317947,0.125747665762901,-0.087109584361315,-0.420000000000000,444.708511352539063,111.177127838134766,147.911712646484375,71.381561279296875
6,"7",13.211732402599999,8.787655989379999,,2b,,,,,28.150730371475220,-0.268171340227127,0.043262466788292,-0.140549678355455,-1.230000000000000,566.809307098388672,70.851163387298584,97.589965820312500,39.165473937988281
7,"8",6.076755120450000,2.260669850030000,,2b,,,,,27.587768554687500,-0.200120940804482,-0.026426330208778,-0.113273635506630,-0.250000000000000,286.496353149414063,143.248176574707031,222.620895385742188,158.745437622070313
8,"9",5.143324198470000,1.785542739190000,,2b,,,,,29.623622894287109,-0.103984847664833,-0.102266326546669,-0.103125587105751,-0.180000000000000,174.456016540527344,87.228008270263672,93.540740966796875,12.625465393066406
9,"10",10.246602490100001,4.770252737500000,,2b,,,,,23.429211139678955,-0.331022292375565,-0.154951110482216,-0.264403365552425,-1.260000000000000,162.487764358520508,40.621941089630127,53.924346923828125,22.231321334838867
10,"11",10.072901506799999,5.436542801580000,,2b,,,,,23.763910293579102,-0.289241820573807,0.184816345572472,-0.132399578889211,-0.710000000000000,414.184803009033203,69.030800501505539,121.460494995117188,74.314773559570313
11,"2",15.534692439300001,6.321537448830000,,2b,,,,,22.163044248308456,-0.469085723161697,-0.140344634652138,-0.336797739778246,-2.120000000000000,1652.591690063476563,236.084527151925215,252.917343139648438,28.357757568359375
12,"3",16.217291425399999,8.357765716079999,,2b,,,,,23.522475984361435,-0.385103255510330,-0.097967162728310,-0.256137023369471,-2.140000000000000,1878.381423950195313,208.709047105577270,240.932769775390625,74.909042358398438
13,"4",38.948344922899999,60.233354121100000,,2b,,,,,22.780346775054930,-0.590200424194336,0.240821823477745,-0.258335231244564,-15.500000000000000,15824.309204101562500,263.738486735026015,677.304748535156250,538.755645751953125
14,"5",19.866311746800001,15.853297385399999,,2b,,,,,23.774649556477865,-0.494504958391190,0.114301666617393,-0.307882843445986,-4.880000000000000,2346.841789245605469,156.456119283040351,242.241500854492188,121.418067932128906
15,"6",16.952596467199999,17.134793614199999,,2b,,,,,25.872736394405365,-0.417198210954666,-0.040082946419716,-0.269854689948261,-4.620000000000000,3884.960372924804688,242.810023307800293,396.054962158203125,289.325668334960938
16,"8",23.891391046300001,36.583582025600002,,2b,,,,,23.529870722028946,-0.382993727922440,0.131534561514854,-0.177739110257890,-6.500000000000000,3714.165081024169922,103.171252250671387,236.954116821289063,185.513774871826172
