OBJECTID,SHAPE_Length,SHAPE_Area,RANGE,MEAN,Notes,
1,34.26656498,50.95512873,20.34167385,22.88354809,,
3,7.590092749,3.843418201,5.170726776,26.92036591,,
4,25.19224139,40.79185804,14.10508537,25.09964811,,
5,26.38546768,33.85848707,18.00269032,23.97287679,,
6,9.230504945,4.835980968,3.411039352,27.01703606,,
7,13.2117324,8.787655989,6.170988083,28.26706717,,
8,6.07675512,2.26066985,2.504648209,27.01389758,,
9,5.143324198,1.785542739,1.751312256,28.9463253,,
10,10.24660249,4.770252737,2.90504837,23.53868103,,
11,10.07290151,5.436542802,2.618930817,23.80898819,,
12,12.83141552,7.901475904,25.55421686,22.2583056,,
13,18.66311542,10.71708748,20.40532494,17.44812866,,
14,5.620652111,1.550429761,0,23.77311325,,
15,10.94867613,7.816753422,13.3696003,24.0818822,,
16,18.88144488,21.25174123,23.89224911,21.19998468,,
17,11.77441047,8.142733767,20.18351364,22.7067486,,
18,8.647921054,4.925318409,12.01646233,21.44050102,,
19,20.64130535,13.69032042,18.55468941,29.31551082,,
20,11.80180356,9.394988711,21.08919144,27.27136951,,
21,17.57604573,16.26068051,16.41429138,22.11945077,,
22,17.5254029,15.68295287,21.59037447,23.11103234,,
23,19.59218392,21.15032005,21.33505058,26.74924569,,
24,11.37470808,8.746204192,9.741023064,7.260677883,,
25,5.117159889,1.813545256,1.075757027,5.881214142,,
26,12.08940706,8.38018252,15.80656052,28.17848078,appears that slide is beneath tree,
27,28.34759245,44.44054075,25.91895866,32.52145183,"2017 imaging does not reach, but looks 2019",
28,29.75295524,58.82135723,13.91272736,23.20948738,"one big slump,what is pipe",
29,25.72578464,35.95682482,15.39525223,21.79836326,incredibly square and blocky slumps,
30,8.741425438,5.258198609,6.44849968,33.77165365,river edge,
31,5.190974538,1.81440002,0,36.86988068,at river edge,
32,5.262697755,1.86108934,16.52624512,33.07208252,at river edge,
33,4.721970008,1.395079466,5.036495209,39.49116707,at river edge,
34,12.86192022,7.475317464,4.792224884,35.39288076,"at river edge, could be two",
35,22.84813831,33.28487183,7.259807587,43.14636798,,
36,9.967499174,6.759566056,8.160713196,42.2550931,,
37,8.098969882,3.595762129,8.402301788,42.3425204,,
38,13.73292036,10.47098665,8.983398438,36.56318387,,
39,14.65194994,12.14972238,8.80597496,29.15750424,,
40,27.43490951,44.00954411,13.77489471,44.64191632,,
41,16.12624443,15.99537936,10.62661552,33.10118662,same linear structure as RH,
42,8.110601409,4.157553866,4.678638458,35.37170792,,
43,12.21889966,7.256115861,3.279388428,47.39226103,,
44,21.53210455,27.45372052,14.85039139,28.43308428,,
45,6.228437526,2.133132996,2.506153107,43.84459114,,
46,7.198305161,3.125262763,4.121160507,34.0224069,,
47,12.35607484,8.037582257,7.088699341,38.19990867,,
48,4.709543807,1.438879086,5.084560394,37.60899544,,
49,19.31247906,22.84992038,20.79702377,30.49940159,,
50,13.87766675,11.71461277,22.30205917,33.42446677,,
51,13.79827504,11.26252943,19.24555016,39.30152206,2017?,
52,23.3654555,25.77881368,29.55852509,27.36392339,2017?,
53,10.53108169,5.83829165,2.265609741,34.72478294,2017?,
54,8.16121632,3.738090767,2.217666626,32.30426741,2017?,
55,7.999555714,3.931560508,12.31327057,36.84990788,,
56,11.72770349,7.578197745,24.61245728,38.39540155,,
57,6.814589369,3.183184879,2.50535965,44.62424596,,
58,13.54349372,6.896170426,10.91286087,38.74195544,,
59,6.152756957,2.253902064,0,31.55500031,,
61,20.1564577,23.84850984,14.03355026,42.79168253,blocky,
62,10.13660559,6.52093491,7.238563538,46.28164019,blocky,
63,5.318550217,1.862104423,0,49.25396347,above another landslide,
64,20.9834364,26.25369929,13.73060226,46.45665007,blocky,
65,6.702868804,3.080464185,3.461448669,47.23071543,small blocky,
66,19.90390872,21.86597101,9.834609985,46.59353973,blocky,
67,20.49498834,25.6866066,12.32968521,29.18698608,blocky,
68,15.65639374,12.87343997,9.062103271,41.54258537,,
69,14.92556056,14.33820221,13.91476059,23.88584188,blocky,
70,9.379165982,5.426028405,5.082904816,36.86354351,blocky,
71,11.27055474,7.969504455,10.21054268,32.99964862,,
72,12.50883468,11.08269548,9.446163177,30.66055187,,
73,16.5807845,14.76094791,14.41546631,28.91384697,,
74,9.877310815,6.318996022,4.34960556,29.56185913,,
75,10.43426922,6.309327606,7.95038414,33.42079135,,
76,28.09901817,41.04762754,12.96695518,21.76773703,,
77,17.41204078,18.52968614,7.478965759,45.10716572,,
78,8.411974645,4.320229334,6.774522781,30.98134518,,
79,7.578319331,2.966057404,10.61198807,18.27235317,llinear slide,
80,10.00486034,7.042383195,15.22512245,25.40825009,,
81,10.45724432,5.696074064,3.235872269,26.28598944,,
82,11.44452452,7.197705169,10.35182762,25.93873514,crack in 2017,
83,28.04415167,36.93562213,26.29250622,22.8872296,one large slump block,
84,15.82814315,14.95235207,17.37858391,30.69933583,linear,
85,14.78114066,12.21626296,6.379764557,27.49963819,somwhat linear,
86,11.06269153,5.5036219,10.05499649,22.33269405,linear,
87,9.487073728,5.7144577,9.495307922,28.96554947,,
88,11.51438699,8.213928559,13.20004463,31.00328732,slumpy,
89,9.991360779,6.982350141,6.926273346,30.54870088,slumpy or linear???,
90,11.59507774,7.24910217,17.10024643,28.42304198,slump,
91,4.914790407,1.72923026,0,22.44745064,above 2017 slide,
92,4.025836103,1.083139575,0,28.37692261,above 2017 slide,
93,7.99764507,4.01802698,5.817419052,27.87577311,at creek edge,
94,6.466040323,2.51138872,2.505300522,26.58480358,at creek edge,
95,6.254875625,2.182245363,0.446083069,35.78927994,"questionable, at creek edge",
96,8.905772477,4.478605532,9.739847183,25.76261616,slump,
97,10.82908221,8.074179078,4.08253479,26.67415346,,
99,0,0,,,,
100,20.53767835,22.69297067,16.16135979,26.96250491,,
101,18.69161119,18.78345213,15.00097942,22.17202387,,
