slide,length to deposition (m),length to toe (m),depth 1 T (m),depth 2 M (m),depth 3 B (m),average depth (m),location of failure plane,arcuate cracks,slump blocks,on high relief?,other notes
501,5,9.2,0.35,0.55,0.5,0.47,soil,no,yes,yes/no,"paw shape in crown, a bit below region of high relief"
502,,16.2,0.5,0.65,0.8,0.65,soil,no,yes,no,many boulders in runout downslope 
503,,,,0.45,,0.45,soil,yes,no,no,failed above 2017 slide
504,,16.5,0.3,0.6,0.6,0.50,soil,yes,yes,no,caused gullying in old 2017 slide below
505,,4.9,0.35,0.25,0.3,0.30,soil,yes,no,yes,"paw shaped, pipe-like hole in crown @ vertex of paw prong, large boulder at failure plane"
506,,,,,,,soil,yes,no,yes,lots of cracks within crown and sides of slide
507,,7.9,0.35,0.6,0.25,0.40,WB,yes,yes,yes,occurred just above a visible sandstone bed
508,,7.8,0.35,0.45,0.5,0.43,soil,no,no,yes,
509,,6,0.3,0.35,0.25,0.30,soil,no,yes,yes,less visible boulders
510,,5.5,0.3,0.25,0.35,0.30,soil,yes,yes,no,
511,,5.7,0.45,0.35,0.5,0.43,soil,yes,yes,yes,"boulder at slide failure plane, high relief not obvious in the field"
512,,8.5,0.47,0.6,0.45,0.51,soil,yes,yes,yes,lots of crevaces at top and in sides of scar
513,,5.3,0.4,0.4,0.3,0.37,soil,no,no,no,at an angle(?) doesn't seem to follow the slope gradient
514,,7.8,0.5,0.55,0.5,0.52,soil,yes,no,yes,high relief obvious here
515,,3.8,0.45,0.5,0.45,0.47,soil,no,no,yes,
516,,5.5,0.42,0.45,0.5,0.46,soil,no,yes,yes,
517,,4.3,0.35,0.4,0.3,0.35,soil,no,yes,yes,boulders in scarp
518,,6.6,0.5,0.45,0.6,0.52,soil,yes,yes,yes,
519,,10.2,0.55,0.5,0.6,0.55,soil,no,yes,no,"lots of clay cracks in the failure plane, exposed bedrock below slide in 097"
520,,6.2,0.5,0.5,0.55,0.52,soil,no,no,yes,"boulders at failure plane, very obvious slope change below scar, no exposed WB"
