Date,ppt (mm)
10/1/2018,0
10/2/2018,0
10/3/2018,3.13
10/4/2018,2.72
10/5/2018,3.3
10/6/2018,0
10/7/2018,0
10/8/2018,0
10/9/2018,0
10/10/2018,0
10/11/2018,0
10/12/2018,0
10/13/2018,0
10/14/2018,0
10/15/2018,0
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0
10/21/2018,0
10/22/2018,0
10/23/2018,0
10/24/2018,0
10/25/2018,0
10/26/2018,0
10/27/2018,0
10/28/2018,0
10/29/2018,0
10/30/2018,0
10/31/2018,0
11/1/2018,0
11/2/2018,0
11/3/2018,0
11/4/2018,0
11/5/2018,0
11/6/2018,0
11/7/2018,0
11/8/2018,0
11/9/2018,0
11/10/2018,0
11/11/2018,0
11/12/2018,0
11/13/2018,0
11/14/2018,0
11/15/2018,0
11/16/2018,0
11/17/2018,0
11/18/2018,0
11/19/2018,0
11/20/2018,0
11/21/2018,1.81
11/22/2018,14.79
11/23/2018,7.37
11/24/2018,6.46
11/25/2018,0
11/26/2018,0
11/27/2018,0
11/28/2018,4.37
11/29/2018,24.08
11/30/2018,19.88
12/1/2018,1.07
12/2/2018,0.9
12/3/2018,0
12/4/2018,0
12/5/2018,0.85
12/6/2018,2.88
12/7/2018,0
12/8/2018,0
12/9/2018,0
12/10/2018,0
12/11/2018,0
12/12/2018,0
12/13/2018,0
12/14/2018,0
12/15/2018,2.51
12/16/2018,2.44
12/17/2018,22.92
12/18/2018,0
12/19/2018,0.63
12/20/2018,0
12/21/2018,5.62
12/22/2018,0.72
12/23/2018,0
12/24/2018,4.84
12/25/2018,7.92
12/26/2018,0
12/27/2018,0
12/28/2018,0
12/29/2018,0
12/30/2018,0
12/31/2018,0
1/1/2019,0
1/2/2019,0
1/3/2019,0
1/4/2019,0
1/5/2019,0.61
1/6/2019,14.85
1/7/2019,29.28
1/8/2019,0.71
1/9/2019,16.57
1/10/2019,4.21
1/11/2019,0.31
1/12/2019,1.25
1/13/2019,0
1/14/2019,0
1/15/2019,5.22
1/16/2019,24.84
1/17/2019,46.54
1/18/2019,5.51
1/19/2019,2.58
1/20/2019,1.84
1/21/2019,3.9
1/22/2019,0
1/23/2019,0
1/24/2019,0
1/25/2019,0
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/31/2019,0
2/1/2019,0
2/2/2019,26.14
2/3/2019,21.81
2/4/2019,14.52
2/5/2019,2.85
2/6/2019,0
2/7/2019,0
2/8/2019,0
2/9/2019,3.39
2/10/2019,2.99
2/11/2019,0.02
2/12/2019,0.03
2/13/2019,37.46
2/14/2019,66.17
2/15/2019,9.59
2/16/2019,3.02
2/17/2019,2.19
2/18/2019,0.66
2/19/2019,0
2/20/2019,0
2/21/2019,0
2/22/2019,0
2/23/2019,0
2/24/2019,0
2/25/2019,1.06
2/26/2019,37.69
2/27/2019,52.59
2/28/2019,6.72
3/1/2019,0
3/2/2019,6.19
3/3/2019,7.91
3/4/2019,3.74
3/5/2019,0
3/6/2019,18.8
3/7/2019,5.39
3/8/2019,0
3/9/2019,0.97
3/10/2019,7.53
3/11/2019,1.14
3/12/2019,0
3/13/2019,0
3/14/2019,0
3/15/2019,0
3/16/2019,0
3/17/2019,0
3/18/2019,0
3/19/2019,0
3/20/2019,4.46
3/21/2019,3.96
3/22/2019,0
3/23/2019,12
3/24/2019,3.03
3/25/2019,0.51
3/26/2019,8.76
3/27/2019,12.12
3/28/2019,3.64
3/29/2019,3.33
3/30/2019,0.01
3/31/2019,0
4/1/2019,0
4/2/2019,4.47
4/3/2019,2.33
4/4/2019,0
4/5/2019,0.25
4/6/2019,1.8
4/7/2019,0
4/8/2019,0
4/9/2019,0.28
4/10/2019,0
4/11/2019,0
4/12/2019,0
4/13/2019,0
4/14/2019,0
4/15/2019,0
4/16/2019,1.09
4/17/2019,0
4/18/2019,0
4/19/2019,0
4/20/2019,0
4/21/2019,0.03
4/22/2019,0
4/23/2019,0
4/24/2019,0
4/25/2019,0
4/26/2019,0
4/27/2019,0
4/28/2019,0
4/29/2019,0
4/30/2019,0
5/1/2019,0
5/2/2019,0
5/3/2019,0
5/4/2019,0
5/5/2019,0
5/6/2019,0
5/7/2019,0
5/8/2019,0
5/9/2019,0
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,0
5/14/2019,0
5/15/2019,0
5/16/2019,23.58
5/17/2019,0.07
5/18/2019,0
5/19/2019,14.44
5/20/2019,4.82
5/21/2019,2.87
5/22/2019,0.16
5/23/2019,0
5/24/2019,0
5/25/2019,0
5/26/2019,1.45
5/27/2019,3.17
5/28/2019,0.02
5/29/2019,0
5/30/2019,0
5/31/2019,8.04
6/1/2019,0
6/2/2019,0
6/3/2019,0
6/4/2019,0
6/5/2019,0
6/6/2019,0
6/7/2019,0
6/8/2019,0
6/9/2019,0
6/10/2019,0
6/11/2019,0
6/12/2019,0
6/13/2019,0
6/14/2019,0
6/15/2019,0
