PRISM Time Series Data
Location:  Lat: 39.1551   Lon: -122.3394   Elev: 285m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-07-01 - 2019-06-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2018-07-01,0.00,20.5,29.2,37.8,8.4,14.11,51.15
2018-07-02,0.00,18.2,28.2,38.2,11.7,6.39,50.33
2018-07-03,0.00,16.8,26.1,35.3,12.9,4.63,39.33
2018-07-04,0.00,14.6,23.2,31.7,10.8,3.43,32.92
2018-07-05,0.00,13.0,20.1,27.3,11.7,2.18,20.56
2018-07-06,0.00,12.8,22.0,31.2,10.6,2.18,31.54
2018-07-07,0.00,16.2,23.8,31.4,11.0,5.36,32.07
2018-07-08,0.00,15.6,25.4,35.3,6.9,6.64,42.99
2018-07-09,0.00,16.2,25.3,34.4,7.5,7.90,40.09
2018-07-10,0.00,16.9,26.1,35.3,8.5,8.12,42.36
2018-07-11,0.00,16.4,26.2,36.1,9.9,6.76,48.28
2018-07-12,0.00,17.9,27.0,36.2,11.9,6.71,44.91
2018-07-13,0.00,19.0,27.9,36.8,8.9,8.77,44.28
2018-07-14,0.00,20.3,26.8,33.3,13.0,8.43,35.62
2018-07-15,0.00,19.6,28.5,37.4,14.6,7.42,43.63
2018-07-16,0.00,19.2,27.9,36.6,14.0,7.11,40.45
2018-07-17,0.00,19.2,28.5,37.8,13.2,7.17,45.96
2018-07-18,0.00,20.4,29.4,38.5,13.1,7.91,48.59
2018-07-19,0.00,20.7,30.2,39.7,13.6,8.63,54.03
2018-07-20,0.00,19.6,29.1,38.7,13.3,7.41,49.55
2018-07-21,0.00,18.8,27.2,35.6,11.2,8.33,42.78
2018-07-22,0.00,19.3,27.4,35.5,13.6,8.01,36.93
2018-07-23,0.00,20.2,28.0,35.9,14.9,7.15,35.86
2018-07-24,0.00,20.2,28.9,37.5,14.7,7.43,42.25
2018-07-25,0.00,20.2,29.6,38.9,12.9,9.04,51.33
2018-07-26,0.00,20.5,30.5,40.4,10.9,12.07,60.94
2018-07-27,0.00,20.5,30.2,39.9,11.2,11.59,55.19
2018-07-28,0.00,19.6,28.7,37.8,12.8,9.72,47.77
2018-07-29,0.00,19.5,28.6,37.6,13.6,9.18,46.54
2018-07-30,0.00,19.7,28.1,36.4,13.0,8.54,42.93
2018-07-31,0.00,19.7,28.1,36.5,13.9,7.99,43.48
2018-08-01,0.00,19.1,27.8,36.5,13.6,8.39,47.73
2018-08-02,0.00,18.0,26.4,34.9,11.9,8.63,44.59
2018-08-03,0.00,17.0,25.5,34.0,10.8,7.90,42.62
2018-08-04,0.00,16.9,25.2,33.5,10.2,8.58,43.35
2018-08-05,0.00,16.6,24.5,32.5,9.2,7.68,41.27
2018-08-06,0.00,16.1,23.4,30.6,9.3,8.22,35.47
2018-08-07,0.00,16.3,25.6,34.8,9.0,9.08,49.48
2018-08-08,0.00,16.9,25.2,33.5,10.6,7.84,42.12
2018-08-09,0.00,17.2,25.7,34.2,12.3,8.56,43.26
2018-08-10,0.00,18.2,27.5,36.8,11.9,9.27,52.39
2018-08-11,0.00,18.2,27.8,37.4,11.7,9.08,53.80
2018-08-12,0.00,17.9,26.8,35.7,10.4,10.96,49.54
2018-08-13,0.00,16.8,25.7,34.6,10.0,8.10,47.09
2018-08-14,0.00,16.1,25.2,34.3,10.3,7.13,45.28
2018-08-15,0.00,15.5,24.1,32.7,10.8,5.01,40.56
2018-08-16,0.00,15.2,23.7,32.3,11.8,3.98,36.91
2018-08-17,0.00,15.4,24.7,34.1,10.6,4.76,45.87
2018-08-18,0.00,16.6,26.4,36.2,10.3,7.90,51.96
2018-08-19,0.00,17.5,27.1,36.7,9.9,9.45,53.07
2018-08-20,0.00,16.7,26.0,35.3,9.5,8.38,48.13
2018-08-21,0.00,15.3,24.9,34.5,9.4,5.21,47.08
2018-08-22,0.00,13.3,21.0,28.6,11.5,2.47,27.43
2018-08-23,0.00,13.1,21.7,30.4,11.9,2.29,31.85
2018-08-24,0.00,13.5,21.5,29.4,11.2,2.68,30.05
2018-08-25,0.00,12.8,20.7,28.6,11.1,2.16,28.62
2018-08-26,0.00,13.1,21.8,30.6,10.5,4.05,34.18
2018-08-27,0.00,13.7,21.9,30.1,10.4,3.22,32.71
2018-08-28,0.00,13.0,20.4,27.8,11.1,2.67,26.15
2018-08-29,0.00,12.8,20.6,28.4,12.1,1.81,25.92
2018-08-30,0.00,11.7,20.1,28.6,11.7,1.45,26.54
2018-08-31,0.00,11.1,19.1,27.1,11.1,1.53,24.48
2018-09-01,0.00,13.3,22.2,31.1,11.2,1.07,20.67
2018-09-02,0.00,14.7,24.6,34.6,9.6,2.41,28.20
2018-09-03,0.00,15.9,25.4,34.9,10.1,3.11,28.14
2018-09-04,0.00,15.5,25.3,35.1,10.7,2.65,27.61
2018-09-05,0.00,15.2,24.4,33.6,10.3,2.72,25.06
2018-09-06,0.00,13.8,23.6,33.5,8.7,2.06,26.15
2018-09-07,0.00,12.9,22.9,32.8,9.1,2.07,24.78
2018-09-08,0.00,15.7,25.8,35.8,8.2,3.34,31.49
2018-09-09,0.00,15.0,24.4,33.7,7.8,2.91,28.34
