PRISM Time Series Data
Location:  Lat: 39.1506   Lon: -122.3658   Elev: 270m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-07-01 - 2019-06-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2018-07-01,0.00,19.9,28.9,38.0,7.6,13.95,51.54
2018-07-02,0.00,17.7,28.1,38.5,11.0,6.36,52.33
2018-07-03,0.00,16.5,26.0,35.5,12.2,4.74,40.91
2018-07-04,0.00,14.4,23.2,32.0,10.1,3.61,34.48
2018-07-05,0.00,12.9,20.2,27.4,11.3,2.37,21.34
2018-07-06,0.00,12.6,22.0,31.4,10.1,2.31,32.36
2018-07-07,0.00,15.7,23.6,31.6,10.3,5.61,33.50
2018-07-08,0.00,15.2,25.3,35.4,6.3,6.75,44.51
2018-07-09,0.00,15.8,25.2,34.6,6.9,8.11,40.80
2018-07-10,0.00,16.4,26.0,35.6,7.6,8.10,44.38
2018-07-11,0.00,15.9,26.1,36.3,9.3,6.78,49.40
2018-07-12,0.00,17.4,26.9,36.4,11.2,6.61,46.05
2018-07-13,0.00,18.5,27.8,37.1,8.4,8.95,46.11
2018-07-14,0.00,19.8,26.6,33.4,12.3,8.27,36.68
2018-07-15,0.00,19.0,28.3,37.5,13.9,7.18,45.07
2018-07-16,0.00,18.7,27.7,36.7,13.5,6.97,41.12
2018-07-17,0.00,18.7,28.3,37.9,12.5,7.15,47.62
2018-07-18,0.00,19.8,29.2,38.6,12.3,8.81,50.56
2018-07-19,0.00,20.1,29.9,39.7,12.8,8.47,55.41
2018-07-20,0.00,19.0,28.9,38.8,12.6,7.40,51.16
2018-07-21,0.00,18.5,27.1,35.6,10.5,8.46,44.10
2018-07-22,0.00,19.1,27.3,35.6,13.2,8.19,38.17
2018-07-23,0.00,20.0,28.0,36.0,14.6,7.29,37.01
2018-07-24,0.00,19.8,28.7,37.7,14.3,7.38,43.87
2018-07-25,0.00,19.7,29.3,39.0,12.1,8.89,52.97
2018-07-26,0.00,20.0,30.3,40.6,10.1,12.45,62.40
2018-07-27,0.00,19.9,29.8,39.8,10.4,11.61,56.36
2018-07-28,0.00,19.1,28.4,37.7,11.9,9.92,47.93
2018-07-29,0.00,19.0,28.3,37.6,12.8,9.45,47.50
2018-07-30,0.00,19.1,27.7,36.3,12.2,8.30,43.44
2018-07-31,0.00,19.1,27.7,36.3,13.1,8.01,43.56
2018-08-01,0.00,18.2,27.3,36.3,13.0,8.25,47.80
2018-08-02,0.00,17.2,26.0,34.7,11.4,8.24,44.53
2018-08-03,0.00,16.2,25.1,34.0,10.3,7.66,43.21
2018-08-04,0.00,15.9,24.8,33.6,9.6,8.11,44.48
2018-08-05,0.00,15.9,24.4,32.9,8.6,7.92,43.25
2018-08-06,0.00,15.4,23.1,30.8,8.7,8.14,36.49
2018-08-07,0.00,15.6,25.3,35.0,8.4,9.25,50.61
2018-08-08,0.00,16.1,24.8,33.5,10.0,7.74,42.56
2018-08-09,0.00,16.1,25.2,34.2,11.8,8.47,44.19
2018-08-10,0.00,17.4,27.1,36.7,11.3,9.38,52.94
2018-08-11,0.00,17.3,27.3,37.3,11.1,8.47,54.26
2018-08-12,0.00,17.1,26.3,35.6,9.8,11.51,49.80
2018-08-13,0.00,16.0,25.3,34.6,9.5,7.82,47.34
2018-08-14,0.00,15.3,24.7,34.1,9.9,7.03,45.29
2018-08-15,0.00,14.9,23.8,32.8,10.4,5.26,40.98
