PRISM Time Series Data
Location:  Lat: 39.1506   Lon: -122.3658   Elev: 270m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2019-06-15
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1981-01-01,1.01,1.7,7.9,14.0,2.8,0.14,7.25
1981-01-02,0.00,1.3,8.1,15.0,1.6,0.21,7.57
1981-01-03,1.13,2.0,7.5,13.1,2.1,0.23,4.69
1981-01-04,2.11,2.1,7.6,13.1,5.2,0.10,3.90
1981-01-05,0.00,1.9,9.5,17.0,4.7,0.10,8.71
1981-01-06,0.00,0.9,7.7,14.5,3.6,0.06,7.04
1981-01-07,0.00,1.2,7.2,13.3,3.0,0.18,6.67
1981-01-08,0.00,0.4,6.3,12.3,2.1,0.11,5.05
1981-01-09,0.00,-0.4,4.9,10.2,2.0,0.05,4.86
1981-01-10,0.00,0.4,6.0,11.6,1.7,0.13,5.96
1981-01-11,0.00,0.7,6.5,12.3,1.0,0.19,6.41
1981-01-12,0.00,0.0,6.8,13.6,0.7,0.17,7.81
1981-01-13,0.00,0.3,7.9,15.5,1.8,0.17,8.16
1981-01-14,0.00,0.8,8.7,16.5,1.7,0.25,10.29
1981-01-15,0.00,1.7,9.5,17.3,2.7,0.23,10.40
1981-01-16,3.18,2.7,10.3,18.0,4.8,0.19,10.27
1981-01-17,4.86,4.7,10.1,15.4,6.8,0.13,5.96
1981-01-18,1.95,5.2,10.1,15.0,7.3,0.17,6.39
1981-01-19,2.85,6.5,11.6,16.7,6.4,0.29,8.15
1981-01-20,6.74,7.7,11.1,14.6,7.3,0.35,5.98
1981-01-21,2.72,9.5,12.1,14.7,8.0,0.51,6.00
1981-01-22,17.76,10.2,13.1,16.0,8.1,0.53,6.95
1981-01-23,26.31,6.2,10.3,14.4,7.2,0.22,7.09
1981-01-24,7.61,3.7,8.0,12.2,5.3,0.12,4.15
1981-01-25,0.01,-0.4,6.0,12.3,2.2,0.08,5.85
1981-01-26,4.61,0.9,6.7,12.5,0.2,0.25,7.60
1981-01-27,31.71,4.5,7.8,11.1,3.8,0.29,3.15
1981-01-28,22.88,4.9,8.4,12.0,5.8,0.25,4.52
1981-01-29,13.07,2.0,6.9,11.8,4.5,0.13,5.10
1981-01-30,0.45,0.0,5.7,11.4,2.4,0.15,4.53
1981-01-31,0.00,-1.3,5.0,11.4,0.4,0.07,6.31
1981-02-01,0.00,-1.0,6.0,13.0,-1.1,0.43,8.01
1981-02-02,0.00,-0.5,6.6,13.7,0.4,0.49,7.81
1981-02-03,0.00,-0.4,8.1,16.7,1.4,0.27,11.06
1981-02-04,0.00,-0.1,8.2,16.6,0.5,0.59,9.71
1981-02-05,0.00,0.4,8.5,16.6,1.2,0.72,9.81
1981-02-06,0.00,0.8,7.6,14.4,2.8,0.20,6.83
1981-02-07,0.00,1.0,7.7,14.5,1.1,0.30,8.59
1981-02-08,0.00,2.6,8.7,14.8,1.4,0.75,10.01
1981-02-09,0.85,4.2,8.5,12.8,3.9,0.78,5.93
1981-02-10,0.00,4.1,10.1,16.1,4.2,0.28,8.36
1981-02-11,2.86,6.0,9.9,13.7,5.7,0.69,5.24
1981-02-12,0.00,6.3,10.9,15.5,7.8,0.29,5.50
1981-02-13,9.94,6.7,12.1,17.4,6.6,0.50,8.99
1981-02-14,15.24,8.0,11.7,15.5,8.7,0.64,4.37
1981-02-15,0.00,6.7,12.2,17.6,7.7,0.52,8.61
1981-02-16,0.00,6.3,12.3,18.4,6.4,0.48,9.50
1981-02-17,1.05,5.3,11.4,17.4,8.0,0.36,7.02
1981-02-18,0.00,5.8,12.8,19.8,6.4,0.44,11.24
1981-02-19,0.00,6.4,14.4,22.4,7.1,0.87,14.59
1981-02-20,0.00,3.1,10.3,17.4,4.3,0.92,8.59
1981-02-21,0.00,4.1,11.2,18.3,-3.1,2.42,14.97
1981-02-22,0.00,2.9,12.2,21.5,1.0,1.10,16.91
1981-02-23,0.00,3.0,11.7,20.5,2.3,0.97,15.58
1981-02-24,3.05,3.5,10.1,16.7,4.1,0.81,10.08
1981-02-25,2.55,1.1,6.4,11.7,1.9,0.40,5.68
1981-02-26,0.95,2.4,6.8,11.1,1.6,0.75,5.57
1981-02-27,2.75,3.5,7.8,12.2,2.4,1.01,5.31
1981-02-28,0.00,3.9,8.8,13.6,1.3,0.98,8.51
1981-03-01,4.53,5.2,9.6,14.0,2.5,0.83,7.26
1981-03-02,0.00,4.8,11.4,18.0,4.1,0.76,12.57
1981-03-03,0.00,2.8,9.5,16.2,3.7,0.47,9.30
1981-03-04,12.33,4.3,9.5,14.6,4.3,0.56,6.61
1981-03-05,3.74,3.5,7.3,11.2,3.1,0.72,4.47
1981-03-06,0.00,2.6,9.7,16.8,0.8,1.15,11.17
1981-03-07,0.00,3.7,10.0,16.2,3.3,0.69,8.81
1981-03-08,0.00,4.5,10.7,16.9,4.7,0.73,7.95
1981-03-09,0.00,4.0,12.0,19.9,4.1,0.87,12.02
1981-03-10,0.00,5.0,12.9,20.8,4.2,0.82,13.53
1981-03-11,0.00,5.1,13.7,22.3,4.9,0.89,15.35
1981-03-12,0.00,4.5,13.3,22.1,4.2,1.01,16.74
1981-03-13,0.00,4.9,11.2,17.5,4.6,1.05,8.98
1981-03-14,0.00,5.0,9.6,14.3,3.1,1.39,7.37
1981-03-15,2.28,5.4,9.3,13.2,3.8,1.41,6.90
1981-03-16,16.18,1.7,5.9,10.2,4.8,0.50,3.77
1981-03-17,0.00,1.9,8.9,15.8,1.4,0.55,10.45
1981-03-18,0.00,3.6,10.4,17.1,0.4,1.37,12.34
1981-03-19,9.13,6.3,9.5,12.8,5.6,0.90,5.22
1981-03-20,6.34,3.1,8.0,12.9,5.3,0.64,4.89
1981-03-21,15.51,4.8,8.4,12.0,3.5,0.99,5.78
1981-03-22,0.70,6.3,10.9,15.6,6.2,1.30,6.70
1981-03-23,0.00,4.8,11.4,18.0,4.8,0.97,10.04
1981-03-24,0.00,5.3,11.5,17.7,4.0,1.05,10.88
1981-03-25,13.69,6.9,12.4,18.0,6.2,1.44,10.16
1981-03-26,1.60,4.7,10.5,16.4,6.3,0.75,8.17
1981-03-27,0.00,3.3,9.6,15.9,2.0,0.89,9.30
1981-03-28,0.00,5.6,13.3,21.1,1.5,2.18,16.38
1981-03-29,0.00,7.5,14.9,22.3,5.2,1.85,15.40
1981-03-30,0.00,1.1,9.0,17.0,1.5,0.87,11.66
1981-03-31,0.00,4.0,10.7,17.4,-0.3,1.56,12.68
1981-04-01,0.00,3.4,10.3,17.2,3.6,1.01,10.30
1981-04-02,0.00,2.5,9.4,16.3,1.7,0.67,10.86
1981-04-03,0.00,2.1,10.6,19.0,-0.2,0.99,15.52
1981-04-04,0.00,3.4,11.8,20.2,1.1,1.66,15.11
1981-04-05,0.00,5.1,14.6,24.0,2.6,1.65,21.15
1981-04-06,0.00,5.8,14.6,23.4,5.3,1.66,18.94
1981-04-07,0.00,4.8,13.1,21.4,2.9,1.58,15.97
1981-04-08,0.00,4.2,12.6,21.0,0.5,1.86,17.59
1981-04-09,0.00,4.8,12.4,20.0,3.0,1.69,13.01
1981-04-10,0.00,5.2,12.8,20.5,3.6,1.80,14.05
1981-04-11,0.00,2.4,10.8,19.3,1.9,1.32,13.64
1981-04-12,0.00,2.6,10.8,19.1,0.8,1.39,13.58
1981-04-13,0.00,4.0,13.4,22.8,1.2,1.71,19.57
1981-04-14,0.00,5.2,15.3,25.3,3.3,1.69,21.99
1981-04-15,0.00,5.7,15.8,25.9,4.3,1.65,23.73
1981-04-16,0.00,7.4,15.6,23.7,3.9,2.21,20.13
1981-04-17,0.00,8.0,15.9,23.8,6.0,1.94,18.28
1981-04-18,0.00,7.8,15.7,23.6,7.1,1.68,16.82
1981-04-19,14.14,8.3,12.7,17.1,7.4,1.14,8.47
1981-04-20,6.83,7.3,9.6,11.8,6.2,1.09,3.44
1981-04-21,0.00,8.7,14.0,19.2,6.5,1.57,10.59
1981-04-22,0.00,12.2,19.0,25.9,9.1,2.04,17.75
1981-04-23,0.00,11.6,20.5,29.4,10.7,1.73,27.50
1981-04-24,0.00,11.0,19.5,28.1,11.1,1.84,21.72
1981-04-25,0.00,8.8,15.9,23.0,7.8,1.77,14.62
1981-04-26,1.22,5.4,11.3,17.2,5.6,1.16,8.54
1981-04-27,0.00,4.2,11.0,17.9,3.7,0.88,11.31
